,basket0,basket1,basket2,basket3,basket4,basket5,basket6,basket7,basket8,basket9,basket10,basket11
common_item1,24,5,10,3,0,7,0,1,1,0,6,1
common_item2,22,17,10,1,0,2,1,0,3,0,3,1
common_item3,22,17,10,1,0,2,1,0,3,0,3,1
common_item4,22,17,10,1,0,2,1,0,3,0,3,1
common_item5,25,0,3,4,1,18,0,0,0,0,7,2
common_item6,25,0,1,4,3,18,0,0,0,0,7,2
common_item7,25,0,1,5,3,18,0,0,0,0,7,1
common_item8,25,0,1,5,2,19,0,0,0,0,7,1
common_item9,25,0,1,5,2,19,0,0,0,0,7,1
common_item10,25,0,1,5,2,19,0,0,0,0,7,1
common_item11,25,0,1,8,2,16,0,0,0,0,7,1
common_item12,22,0,0,17,0,7,1,6,0,0,6,1
common_item13,23,0,0,16,0,5,1,6,0,0,6,3
common_item14,23,16,8,1,0,2,2,0,5,0,1,2
common_item15,24,3,7,2,0,4,2,0,14,0,3,1
common_item16,24,0,0,15,0,9,1,1,5,0,4,1
personal_item1,23,7,5,6,1,7,2,1,1,1,5,1
personal_item2,27,3,1,7,1,10,2,0,3,1,4,1
personal_item3,26,2,4,4,0,14,0,1,0,3,6,0
personal_item4,27,0,2,8,1,10,1,1,1,3,5,1
personal_item5,21,4,7,6,0,10,0,1,2,2,5,2
