,whites,lights,darks,brights,colours,handwash,denims,delicates,children's,mixed,miscellaneous,Total
Item 1,6.000,11.000,3.000,0.000,7.000,0.000,1.000,1.000,0.000,6.000,1.000,36.000
Item 2,17.000,10.000,1.000,0.000,2.000,1.000,0.000,3.000,0.000,3.000,1.000,38.000
Item 3,17.000,10.000,1.000,0.000,2.000,1.000,0.000,3.000,0.000,3.000,1.000,38.000
Item 4,17.000,10.000,1.000,0.000,2.000,1.000,0.000,3.000,0.000,3.000,1.000,38.000
Item 5,0.000,3.000,4.000,1.000,18.000,0.000,0.000,0.000,0.000,7.000,2.000,35.000
Item 6,0.000,1.000,4.000,3.000,18.000,0.000,0.000,0.000,0.000,7.000,2.000,35.000
Item 7,0.000,1.000,5.000,3.000,18.000,0.000,0.000,0.000,0.000,7.000,1.000,35.000
Item 8,0.000,1.000,5.000,2.000,19.000,0.000,0.000,0.000,0.000,7.000,1.000,35.000
Item 9,0.000,1.000,5.000,2.000,19.000,0.000,0.000,0.000,0.000,7.000,1.000,35.000
Item 10,0.000,1.000,5.000,2.000,19.000,0.000,0.000,0.000,0.000,7.000,1.000,35.000
Item 11,0.000,1.000,8.000,2.000,16.000,0.000,0.000,0.000,0.000,7.000,1.000,35.000
Item 12,0.000,0.000,17.000,0.000,7.000,1.000,6.000,0.000,0.000,6.000,1.000,38.000
Item 13,0.000,0.000,16.000,0.000,5.000,1.000,6.000,0.000,0.000,6.000,3.000,37.000
Item 14,16.000,8.000,1.000,0.000,2.000,2.000,0.000,5.000,0.000,1.000,2.000,37.000
Item 15,3.000,7.000,2.000,0.000,4.000,2.000,0.000,14.000,0.000,3.000,1.000,36.000
Item 16,0.000,0.000,15.000,0.000,9.000,1.000,1.000,5.000,0.000,4.000,1.000,36.000
Mean,4.750,4.062,5.812,0.938,10.438,0.625,0.875,2.125,0.000,5.250,1.312,36.188
