,count,if_use
participant1,6.000,1.000
participant2,0.000,0.000
participant3,4.000,1.000
participant4,0.000,0.000
participant5,6.000,1.000
participant6,4.000,1.000
participant7,5.000,1.000
participant8,4.000,1.000
participant9,0.000,0.000
participant10,0.000,0.000
participant11,8.000,1.000
participant12,5.000,1.000
participant13,4.000,1.000
participant14,5.000,1.000
participant15,4.000,1.000
participant16,1.000,1.000
participant17,5.000,1.000
participant18,6.000,1.000
participant19,0.000,0.000
participant20,7.000,1.000
participant21,0.000,0.000
participant22,7.000,1.000
participant23,0.000,0.000
participant24,6.000,1.000
participant25,0.000,0.000
participant26,0.000,0.000
participant27,4.000,1.000
participant28,0.000,0.000
participant29,1.000,1.000
participant30,0.000,0.000
total,92.000,19.000
