,basket0,basket1,basket2,basket3,basket4,basket5,basket6,basket7,basket8,basket9,basket10,basket11
common_item1,24.000,5.000,10.000,3.000,0.000,7.000,0.000,1.000,1.000,0.000,6.000,1.000
common_item2,22.000,17.000,10.000,1.000,0.000,2.000,1.000,0.000,3.000,0.000,3.000,1.000
common_item3,22.000,17.000,10.000,1.000,0.000,2.000,1.000,0.000,3.000,0.000,3.000,1.000
common_item4,22.000,17.000,10.000,1.000,0.000,2.000,1.000,0.000,3.000,0.000,3.000,1.000
common_item5,25.000,0.000,3.000,4.000,1.000,18.000,0.000,0.000,0.000,0.000,7.000,2.000
common_item6,25.000,0.000,1.000,4.000,3.000,18.000,0.000,0.000,0.000,0.000,7.000,2.000
common_item7,25.000,0.000,1.000,5.000,3.000,18.000,0.000,0.000,0.000,0.000,7.000,1.000
common_item8,25.000,0.000,1.000,5.000,2.000,19.000,0.000,0.000,0.000,0.000,7.000,1.000
common_item9,25.000,0.000,1.000,5.000,2.000,19.000,0.000,0.000,0.000,0.000,7.000,1.000
common_item10,25.000,0.000,1.000,5.000,2.000,19.000,0.000,0.000,0.000,0.000,7.000,1.000
common_item11,25.000,0.000,1.000,8.000,2.000,16.000,0.000,0.000,0.000,0.000,7.000,1.000
common_item12,22.000,0.000,0.000,17.000,0.000,7.000,1.000,6.000,0.000,0.000,6.000,1.000
common_item13,23.000,0.000,0.000,16.000,0.000,5.000,1.000,6.000,0.000,0.000,6.000,3.000
common_item14,23.000,16.000,8.000,1.000,0.000,2.000,2.000,0.000,5.000,0.000,1.000,2.000
common_item15,24.000,3.000,7.000,2.000,0.000,4.000,2.000,0.000,14.000,0.000,3.000,1.000
common_item16,24.000,0.000,0.000,15.000,0.000,9.000,1.000,1.000,5.000,0.000,4.000,1.000
personal_item1,23.000,7.000,5.000,6.000,1.000,7.000,2.000,1.000,1.000,1.000,5.000,1.000
personal_item2,27.000,3.000,1.000,7.000,1.000,10.000,2.000,0.000,3.000,1.000,4.000,1.000
personal_item3,26.000,2.000,4.000,4.000,0.000,14.000,0.000,1.000,0.000,3.000,6.000,0.000
personal_item4,27.000,0.000,2.000,8.000,1.000,10.000,1.000,1.000,1.000,3.000,5.000,1.000
personal_item5,21.000,4.000,7.000,6.000,0.000,10.000,0.000,1.000,2.000,2.000,5.000,2.000
