,basket1,basket2,basket3,basket4,basket5,basket6,basket7,basket8,basket9,basket10,basket11
stock1,4.000,8.000,3.000,0.000,7.000,0.000,1.000,0.000,0.000,5.000,1.000
stock2,14.000,9.000,1.000,0.000,2.000,0.000,0.000,1.000,0.000,3.000,0.000
stock3,14.000,9.000,1.000,0.000,2.000,0.000,0.000,1.000,0.000,3.000,0.000
stock4,14.000,9.000,1.000,0.000,2.000,0.000,0.000,1.000,0.000,3.000,0.000
stock5,0.000,2.000,3.000,1.000,17.000,0.000,0.000,0.000,0.000,5.000,2.000
stock6,0.000,1.000,3.000,3.000,17.000,0.000,0.000,0.000,0.000,5.000,1.000
stock7,0.000,1.000,4.000,3.000,17.000,0.000,0.000,0.000,0.000,5.000,0.000
stock8,0.000,1.000,4.000,2.000,18.000,0.000,0.000,0.000,0.000,5.000,0.000
stock9,0.000,1.000,4.000,2.000,18.000,0.000,0.000,0.000,0.000,5.000,0.000
stock10,0.000,1.000,4.000,2.000,18.000,0.000,0.000,0.000,0.000,5.000,0.000
stock11,0.000,1.000,7.000,2.000,15.000,0.000,0.000,0.000,0.000,5.000,0.000
stock12,0.000,0.000,15.000,0.000,6.000,0.000,5.000,0.000,0.000,4.000,0.000
stock13,0.000,0.000,15.000,0.000,4.000,0.000,5.000,0.000,0.000,4.000,2.000
stock14,13.000,8.000,1.000,0.000,2.000,1.000,0.000,3.000,0.000,1.000,1.000
stock15,2.000,7.000,2.000,0.000,3.000,2.000,0.000,10.000,0.000,3.000,1.000
stock16,0.000,0.000,14.000,0.000,8.000,1.000,0.000,5.000,0.000,2.000,0.000
personal1,6.000,4.000,6.000,1.000,7.000,1.000,0.000,0.000,1.000,4.000,0.000
personal2,3.000,1.000,7.000,1.000,9.000,1.000,0.000,3.000,1.000,4.000,0.000
personal3,1.000,3.000,4.000,0.000,14.000,0.000,0.000,0.000,3.000,5.000,0.000
personal4,0.000,2.000,6.000,1.000,10.000,1.000,0.000,1.000,3.000,5.000,0.000
personal5,2.000,5.000,4.000,0.000,10.000,0.000,1.000,1.000,2.000,3.000,1.000
