,idx,parameter,ac1,ac2
0,0,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.24762,0.44063
1,1,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.23317,0.45746
2,2,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.23603,0.44079
3,3,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.24349,0.45841
4,4,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.23603,0.44603
5,5,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.23778,0.46016
6,6,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.23571,0.44889
7,7,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.24032,0.45714
8,8,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.24333,0.45159
9,9,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.24365,0.45857
10,10,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.24238,0.45222
11,11,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.24127,0.46111
12,12,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.24587,0.45063
13,13,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.24016,0.45810
14,14,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.23984,0.44905
15,15,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.23429,0.45937
16,16,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.24540,0.45206
17,17,"('Sarsa', 10000, 50, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.23048,0.45873
18,18,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.24222,0.44063
19,19,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.23651,0.45603
20,20,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.23857,0.44222
21,21,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.23683,0.45952
22,22,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.23349,0.44381
23,23,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.24317,0.46095
24,24,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.24111,0.44762
25,25,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.24000,0.45651
26,26,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.23778,0.44921
27,27,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.24810,0.45857
28,28,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.23286,0.44952
29,29,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.23032,0.45873
30,30,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.23825,0.44841
31,31,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.23127,0.45794
32,32,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.23619,0.44746
33,33,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.24492,0.45937
34,34,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.23794,0.44905
35,35,"('Sarsa', 10000, 50, 1, 0.5, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.24143,0.45825
36,36,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.23286,0.43365
37,37,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.23381,0.45492
38,38,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.23540,0.43429
39,39,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.23429,0.45651
40,40,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.23619,0.43683
41,41,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.23651,0.45667
42,42,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.24603,0.44762
43,43,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.23159,0.45603
44,44,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.23492,0.44825
45,45,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.24397,0.45778
46,46,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.24222,0.44778
47,47,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.24270,0.45651
48,48,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.22603,0.44619
49,49,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.22873,0.45746
50,50,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.24635,0.44714
51,51,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.22857,0.45762
52,52,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.22746,0.44524
53,53,"('Sarsa', 10000, 50, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.22365,0.45825
54,54,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.23079,0.45667
55,55,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.24238,0.45794
56,56,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.24476,0.46032
57,57,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.24143,0.45905
58,58,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.24143,0.46016
59,59,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.23968,0.46111
60,60,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.24714,0.45778
61,61,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.23365,0.45810
62,62,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.23556,0.45825
63,63,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.24778,0.45794
64,64,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.24254,0.45921
65,65,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.23603,0.45889
66,66,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.24175,0.45794
67,67,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.24238,0.45794
68,68,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.24349,0.46095
69,69,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.24159,0.45873
70,70,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.24175,0.45857
71,71,"('Sarsa', 10000, 50, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.24698,0.45857
72,72,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.24000,0.45571
73,73,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.22937,0.45794
74,74,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.23778,0.45778
75,75,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.23651,0.45841
76,76,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.21937,0.45873
77,77,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.23651,0.46048
78,78,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.23873,0.45762
79,79,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.23175,0.45810
80,80,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.23190,0.45873
81,81,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.23540,0.45857
82,82,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.23968,0.45841
83,83,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.23651,0.45952
84,84,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.24206,0.45746
85,85,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.22937,0.45794
86,86,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.23302,0.45921
87,87,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.24095,0.45825
88,88,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.23778,0.45937
89,89,"('Sarsa', 10000, 50, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.24730,0.46016
90,90,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.24841,0.45349
91,91,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.23984,0.45810
92,92,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.23556,0.45825
93,93,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.24476,0.46048
94,94,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.22508,0.45714
95,95,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.24492,0.45905
96,96,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.23762,0.45571
97,97,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.24254,0.45794
98,98,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.23651,0.45683
99,99,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.23159,0.45794
100,100,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.24921,0.45794
101,101,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.23905,0.45952
102,102,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.23524,0.45746
103,103,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.23778,0.45810
104,104,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.22984,0.45746
105,105,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.23857,0.45794
106,106,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.23698,0.45889
107,107,"('Sarsa', 10000, 50, 2, 0.7, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.24016,0.45921
108,108,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.23794,0.45460
109,109,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.24032,0.45794
110,110,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.23381,0.45603
111,111,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.24460,0.45841
112,112,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.23429,0.45460
113,113,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.23302,0.46111
114,114,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.24651,0.45508
115,115,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.24365,0.45794
116,116,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.24873,0.45667
117,117,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.23508,0.45825
118,118,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.23254,0.45540
119,119,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.24222,0.45905
120,120,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.24587,0.45635
121,121,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.24397,0.45794
122,122,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.23968,0.45508
123,123,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.24206,0.45778
124,124,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.23175,0.45571
125,125,"('Sarsa', 10000, 100, 1, 0.3, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.23873,0.45794
126,126,"('Sarsa', 10000, 100, 1, 0.5, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.24032,0.45048
