,idx,parameter,ac1,ac2
0,0,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 1, 0.5)",0.49921,0.86063
1,1,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 1, 1)",0.50254,0.90937
2,2,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 1, 2)",0.50254,0.91381
3,3,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 2, 0.5)",0.50333,0.86349
4,4,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 2, 1)",0.50413,0.91206
5,5,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 2, 2)",0.50095,0.91476
6,6,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 3, 0.5)",0.49857,0.86016
7,7,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 3, 1)",0.50365,0.91254
8,8,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 3, 2)",0.50286,0.91825
9,9,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 5, 0.5)",0.50222,0.86603
10,10,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 5, 1)",0.50063,0.91365
11,11,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 5, 2)",0.50238,0.91984
12,12,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 1, 0.5)",0.50032,0.88857
13,13,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 1, 1)",0.50143,0.91397
14,14,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 1, 2)",0.49921,0.91651
15,15,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 2, 0.5)",0.49952,0.89175
16,16,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 2, 1)",0.50143,0.91937
17,17,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 2, 2)",0.49937,0.91619
18,18,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 3, 0.5)",0.50444,0.88889
19,19,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 3, 1)",0.50206,0.92143
20,20,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 3, 2)",0.50317,0.91603
21,21,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 5, 0.5)",0.50238,0.89143
22,22,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 5, 1)",0.50111,0.92333
23,23,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 5, 2)",0.50063,0.92111
24,24,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.49841,0.90873
25,25,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.49952,0.91635
26,26,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 1, 2)",0.50413,0.91619
27,27,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 2, 0.5)",0.50016,0.90825
28,28,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 2, 1)",0.50143,0.91810
29,29,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 2, 2)",0.50270,0.91619
30,30,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.49968,0.91254
31,31,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.50317,0.92143
32,32,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 3, 2)",0.50048,0.91857
33,33,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.50111,0.91111
34,34,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.49127,0.92032
35,35,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 5, 2)",0.49698,0.92016
36,36,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.50032,0.90413
37,37,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.50206,0.91619
38,38,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 1, 2)",0.50159,0.91603
39,39,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 2, 0.5)",0.49873,0.90937
40,40,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 2, 1)",0.49984,0.91746
41,41,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 2, 2)",0.50206,0.91603
42,42,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.50159,0.91016
43,43,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.50159,0.91746
44,44,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 3, 2)",0.50317,0.91556
45,45,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.50222,0.91397
46,46,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.50413,0.92048
47,47,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 5, 2)",0.50127,0.91730
48,48,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.50206,0.90365
49,49,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.50317,0.91635
50,50,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 1, 2)",0.50016,0.91619
51,51,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 2, 0.5)",0.50111,0.90762
52,52,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 2, 1)",0.50317,0.91524
53,53,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 2, 2)",0.50063,0.91603
54,54,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.49508,0.90937
55,55,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.50381,0.91762
56,56,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 3, 2)",0.50317,0.91857
57,57,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.49984,0.90873
58,58,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.50238,0.91667
59,59,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 5, 2)",0.50365,0.91825
60,60,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 1, 0.5)",0.50238,0.85746
61,61,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 1, 1)",0.50048,0.90667
62,62,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 1, 2)",0.50175,0.91508
63,63,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 2, 0.5)",0.50048,0.85810
64,64,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 2, 1)",0.50333,0.91476
65,65,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 2, 2)",0.50079,0.91571
66,66,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 3, 0.5)",0.50032,0.85365
67,67,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 3, 1)",0.50063,0.91317
68,68,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 3, 2)",0.49889,0.91905
69,69,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 5, 0.5)",0.50222,0.86365
70,70,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 5, 1)",0.50159,0.91492
71,71,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 5, 2)",0.50159,0.92143
72,72,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 1, 0.5)",0.50063,0.88349
73,73,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 1, 1)",0.49841,0.91381
74,74,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 1, 2)",0.49968,0.91619
75,75,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 2, 0.5)",0.50286,0.88857
76,76,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 2, 1)",0.50159,0.92016
